,index,imdbId,Imdb Link,Title,IMDB Score,Genre,Poster
0,0,114709,http://www.imdb.com/title/tt114709,Toy_Story_(1995),8.3,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX182_CR0,0,182,268_AL_.jpg"
1,12,112453,http://www.imdb.com/title/tt112453,Balto_(1995),7.1,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX182_CR0,0,182,268_AL_.jpg"
2,16,114388,http://www.imdb.com/title/tt114388,Sense_and_Sensibility_(1995),7.7,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
3,24,113627,http://www.imdb.com/title/tt113627,Leaving_Las_Vegas_(1995),7.6,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
4,28,112682,http://www.imdb.com/title/tt112682,The_City_of_Lost_Children_(1995),7.7,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR7,0,182,268_AL_.jpg"
5,31,114746,http://www.imdb.com/title/tt114746,Twelve_Monkeys_(1995),8.0,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
6,47,114148,http://www.imdb.com/title/tt114148,Pocahontas_(1995),6.7,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg"
7,48,114916,http://www.imdb.com/title/tt114916,When_Night_Is_Falling_(1995),6.7,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2OTU5MDMzN15BMl5BanBnXkFtZTcwMTkxNTEzMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
8,65,116839,http://www.imdb.com/title/tt116839,Lawnmower_Man_2:_Beyond_Cyberspace_(1996),2.4,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BZGI0ZDZhOGUtZDZiOS00NWE2LThjNzQtYzI3ZGFjODUwZjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
9,75,114367,http://www.imdb.com/title/tt114367,Screamers_(1995),6.4,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2M2ZGM0NDUtODRhNS00MjcxLTg3ZWYtYjkyZDJkYmVjOWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
10,82,114039,http://www.imdb.com/title/tt114039,Once_Upon_a_Time..._When_We_Were_Colored_(1995),7.2,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NDk2MDcyNV5BMl5BanBnXkFtZTcwMTQxNTMyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
11,84,112365,http://www.imdb.com/title/tt112365,Angels_and_Insects_(1995),7.0,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTgwMTExNjk2M15BMl5BanBnXkFtZTcwNzQxNTEzMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
12,101,118040,http://www.imdb.com/title/tt118040,Unforgettable_(1996),6.0,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MjA4MzIxMV5BMl5BanBnXkFtZTcwMTg3Mjg3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
13,106,112646,http://www.imdb.com/title/tt112646,Catwalk_(1995),6.4,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNzk1NjMxN15BMl5BanBnXkFtZTcwNjk0ODkxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
14,132,114500,http://www.imdb.com/title/tt114500,Sonic_Outlaws_(1995),7.3,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5OTU5MTgxM15BMl5BanBnXkFtZTcwNTMwMDgyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
15,138,118055,http://www.imdb.com/title/tt118055,Up_Close_&_Personal_(1996),6.1,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BODQ1NDAyMTExMV5BMl5BanBnXkFtZTcwNDIwMDIyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
16,170,113481,http://www.imdb.com/title/tt113481,Johnny_Mnemonic_(1995),5.6,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTdhYjEzYTEtYTkwZC00NzgxLWI0ZWEtYmEyMGZhOWYwMjE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
17,171,113492,http://www.imdb.com/title/tt113492,Judge_Dredd_(1995),5.5,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BYmM1NzUyY2YtOTU4My00ZmFmLWI4ZjYtYzJlM2JlOTBhZmIzXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg"
18,177,113729,http://www.imdb.com/title/tt113729,Mad_Love_(1995),5.3,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDE0NTQ1NjQzM15BMl5BanBnXkFtZTYwNDI4MDU5._V1_UY268_CR4,0,182,268_AL_.jpg"
19,189,114345,http://www.imdb.com/title/tt114345,The_Scarlet_Letter_(1995),5.2,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MTg0NzMxMV5BMl5BanBnXkFtZTcwMDc4ODUyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
20,194,114508,http://www.imdb.com/title/tt114508,Species_(1995),5.8,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyNTE0ODUzOF5BMl5BanBnXkFtZTcwNjY5NTk1NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
21,204,114805,http://www.imdb.com/title/tt114805,Unzipped_(1995),6.4,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwODIwMTk2Nl5BMl5BanBnXkFtZTcwMzA4NDUyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
22,205,114887,http://www.imdb.com/title/tt114887,A_Walk_in_the_Clouds_(1995),6.6,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjg3OTQzOTM5MF5BMl5BanBnXkFtZTYwNTY5NzY5._V1_UY268_CR2,0,182,268_AL_.jpg"
23,206,114898,http://www.imdb.com/title/tt114898,Waterworld_(1995),6.1,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BYzE4NTRmMDYtNWYzYi00YmNkLTk4NDEtYjFmMDc4ODQ3ODY2XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg"
24,213,112471,http://www.imdb.com/title/tt112471,Before_Sunrise_(1995),8.1,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
25,219,112679,http://www.imdb.com/title/tt112679,Circle_of_Friends_(1995),6.6,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTAwOTIwMjgxMV5BMl5BanBnXkFtZTcwNjQ0MDYyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
26,236,113198,http://www.imdb.com/title/tt113198,A_Goofy_Movie_(1995),6.8,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDczYjU4MDMtY2RjMy00Y2UyLWE2MmMtZjliYWUwNzQ3YjExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
27,241,113234,http://www.imdb.com/title/tt113234,Gumby:_The_Movie_(1995),6.2,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjU0ODM1MjExOF5BMl5BanBnXkFtZTcwNDY0ODcyMg@@._V1_UY268_CR3,0,182,268_AL_.jpg"
28,253,110216,http://www.imdb.com/title/tt110216,Junior_(1994),4.5,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNjA3MTUxMl5BMl5BanBnXkFtZTcwMDk2MjAyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
29,262,103994,http://www.imdb.com/title/tt103994,Como_agua_para_chocolate_(1992),7.2,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNDI3MTIyMF5BMl5BanBnXkFtZTcwMzg5NDEzMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
30,296,110889,http://www.imdb.com/title/tt110889,Priest_(1994),7.1,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BYzAyYzQ0ODQtNzNhMi00NWVkLTk1YTItODE4Y2U4YmE0NDgzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
31,298,114129,http://www.imdb.com/title/tt114129,Picture_Bride_(1994),6.8,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMjgzNDE4Ml5BMl5BanBnXkFtZTcwMzkzNzQyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
32,306,110769,http://www.imdb.com/title/tt110769,Pao_Da_Shuang_Deng_(1994),7.0,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5NTU3NDgxNV5BMl5BanBnXkFtZTcwMTI4NzEzMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
33,310,111333,http://www.imdb.com/title/tt111333,The_Swan_Princess_(1994),6.4,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDM2OGM1MjAtYjA3Zi00NzEzLWFiOWMtYjg4MDdiMzYzMWVkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_UY268_CR3,0,182,268_AL_.jpg"
34,313,111282,http://www.imdb.com/title/tt111282,Stargate_(1994),7.1,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BYWEyYTQzNzQtZTg5OS00NDhkLTg1NjYtMzA5Y2MyYjYzNWQ5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
35,323,114614,http://www.imdb.com/title/tt114614,Tank_Girl_(1995),5.2,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3ODMxNzU3NV5BMl5BanBnXkFtZTcwOTQzMTM3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
36,328,114852,http://www.imdb.com/title/tt114852,Village_of_the_Damned_(1995),5.6,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTY5MzEwMjctMmQ1MS00YThmLWJhMjQtYzMxOWZlNTEyNGM5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
37,337,109655,http://www.imdb.com/title/tt109655,Double_Happiness_(1994),7.2,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MjI3NjQzNV5BMl5BanBnXkFtZTcwNzMzOTE0MQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
38,360,110357,http://www.imdb.com/title/tt110357,The_Lion_King_(1994),8.5,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UX182_CR0,0,182,268_AL_.jpg"
